sp-Whelm	sparklemotion			20	15		Node Pos	bip01 head			Sprite				flare-1	30	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#radius	0	0	0?360	0	0	64,0	250	100	180						1
sp-Inevitable Defeat	headspark			perm	3		Node Pos	bip01 head			Sprite				flare-1	30	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#radius	0	0	0?360	0	0	64,0	250	100	180						1
sp-Whelming Blast	sparkleness			30	300		Object YPR				Sprite	Same as Emitter	Polar		flare-1	20	Add	0				0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-45?45	0	0?400	2?6	0	0	0	0	0	128,255	200?250	80?100	170?200						30
sp-Bigby's Tripping Hand	swipe			1	150		Object YPR				Sprite	Same as Emitter	Cartesian		bigby-hand	7	Blend	0				0	0	0	0	0	0	-20	20	-20	0	0	0	0	0	0	0	0	0	0	0	0	200	100	0	0	-750	750	-750	250	-250	250	-1?2	-1?2	-1?2	20	0	0	-120,-60	0	0	0	255	255	255						1
sp-Black Tentacles Area	tentacles	0		perm	15						Disc		Polar	Polar	black-tentacles-1	180	Subtract	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1?0	-0.2?0.2	0	-2?0	0?360	5?10	40?180	0,40(25),80,70,80,40(-25),0	0	0	0?360	0	255	250	250	250						3
sp-Black Tentacles Area	tentacles	0		perm	15						Disc		Polar	Polar	black-tentacles-2	180	Subtract	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1?0	-0.2?0.2	0	-2?0	0?360	5?10	60?210	0,50(30),80,70,80,60(-30),0	0	0	0?360	0	255	250	250	250						3
sp-Black Tentacles Area	cloud	0		perm	5						Disc		Polar		flare-2	60	blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200,350	0	0	0?360	0	0	0,120,0	30	0	30						3
sp-Black Tentacles Area	bam around	0		10	50						Disc		Polar		flare-3	30	Subtract	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,300	0	0	0?360	0	0	0,32,32,32,32,0	255	255	255						15
sp-Black Tentacles Area	boundary	0		perm	300						Disc		Polar		flare-2	60	Blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?360	0	260	2?5	0	0	0?360	0	0	0,250,0	0,120	0,120	0,120						3
sp-Black Tentacles Grapple	engulf	0		perm	200		Object Pos		Polar	Polar	Point	Same as Emitter	Polar	Polar	flare-2	40	Blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15,25	0	0	0	0,90	20,30,45,70	5	0	0	0?360	0	0	250	20	20	20						3
